Altium Designer Pick and Place Locations
C:\Users\Lingke\Desktop\Personal\Altium\WPT Round 2 TX\Project Outputs for WPT Round 2 TX\Pick Place\Pick Place for WPT Round 2 TX Layout.csv

========================================================================================================================
File Design Information:

Date:       23/04/21
Time:       20:56
Revision:   f379fe84d61c4787658f1fce38dd70ca4f1cf8ca
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"TP5","TP","BottomLayer","Test_Point","62.2500","34.7500","180","Test Point 1mm by 1mm"
"TP4","TP","BottomLayer","Test_Point","54.2500","61.0000","180","Test Point 1mm by 1mm"
"TP3","TP","BottomLayer","Test_Point","55.2500","35.7500","180","Test Point 1mm by 1mm"
"TP2","TP","BottomLayer","Test_Point","55.5000","33.7500","180","Test Point 1mm by 1mm"
"TP1","TP","BottomLayer","Test_Point","54.5000","59.2500","180","Test Point 1mm by 1mm"
"RT1","Thermistor 10K","TopLayer","THRMC2012X95N","66.5000","67.6243","180","Thermistor 10Kohm B Parameter: 3950k"
"R32","56K","TopLayer","0805_Resistor","57.2500","71.2390","360","56K Ohm Resistor"
"R31","1M ohm","TopLayer","FP-CRCW0805-e3-MFG","57.2500","73.0000","360","RES Thick Film, 1MO, 1%, 0.125W, 100ppm/°C, 0805
1M Ohm Resistor"
"R30","10K","TopLayer","0805_Resistor","44.5043","64.8958","90","High Presicion 10K Ohm"
"R28","10KO","TopLayer","FP-CRCW0805-e3-MFG","29.7818","38.1000","180","Resistor 10K Ohm"
"R27","1K3O","TopLayer","FP-CRCW0805-e3-MFG","29.7818","42.2000","180","Resistor 1K3 Ohm"
"R26","2KO","TopLayer","FP-CRCW0805-e3-MFG","26.4818","50.0000","180","RES Thick Film, 2kO, 1%, 0.125W, 100ppm/°C, 0805"
"R25","10k","TopLayer","0805_Resistor","50.4190","69.5000","90","High Presition and High reliability 10K Ohm Resistor"
"R24","15K","TopLayer","0805_Resistor","44.5043","69.5000","90","High Presicion 15K Ohm"
"R23","160KO","TopLayer","FP-CRCW0805-e3-MFG","30.7818","35.5000","270","Resistor 160K Ohm"
"R22","18KO","TopLayer","FP-CRCW0805-e3-MFG","29.7818","44.0000","180","Resistor 18K Ohm"
"R21","100KO","TopLayer","FP-CRCW0805-e3-MFG","28.9818","35.5000","270","Resistor 100K Ohm"
"R20","1KR","TopLayer","FP-CRCW0805-e3-MFG","43.5000","72.9543","180","Resistor 1k Ohm"
"R19","10KR","TopLayer","FP-CRCW0805-e3-MFG","41.0000","42.8500","270","Resistor 10K Ohm"
"R18","100R","TopLayer","FP-CRCW0805-e3-MFG","38.5000","50.0500","270","Resistor 100 Ohm"
"R17","6K8R","TopLayer","FP-CRCW0805-e3-MFG","37.0000","46.2500","270","Resistor 6.8K Ohm"
"R16","1KR","TopLayer","FP-CRCW0805-e3-MFG","37.4000","42.8500","270","Resistor 1k Ohm"
"R15","470R","TopLayer","FP-CRCW0805-e3-MFG","44.5000","38.3500","360","Resistor 470 Ohm"
"R14","470R","TopLayer","FP-CRCW0805-e3-MFG","44.5000","36.5500","360","Resistor 470 Ohm"
"R13","10R","TopLayer","FP-CRCW1206-e3-IPC_A","59.1666","63.6677","180","RES Thick Film, 10O, 1%, 0.25W, 100ppm/°C, 1206
MOSFET Gate Resistor 10Ohm"
"R12","10R","TopLayer","FP-CRCW1206-e3-IPC_A","60.0000","41.2000","360","RES Thick Film, 10O, 1%, 0.25W, 100ppm/°C, 1206
MOSFET Gate Resistor 10Ohm"
"R11","4.7Ohm","TopLayer","FP-CRCW1206-e3-IPC_A","59.1666","65.8677","180","RES Thick Film, 4.7O, 1%, 0.25W, 100ppm/°C, 1206
MOSFET Gate Fast-off Resistor 4.7Ohm"
"R10","4.7Ohm","TopLayer","FP-CRCW1206-e3-IPC_A","60.0000","38.5000","360","RES Thick Film, 4.7O, 1%, 0.25W, 100ppm/°C, 1206
MOSFET Gate Fast-off Resistor 4.7Ohm"
"R9","10K","TopLayer","0805_Resistor","52.6666","54.3677","360","High Presicion 10K Ohm"
"R8","10K","TopLayer","0805_Resistor","53.5000","29.6000","360","High Presicion 10K Ohm"
"R7","10K","TopLayer","0805_Resistor","52.6666","56.3676","360","High Presicion 10K Ohm"
"R6","10K","TopLayer","0805_Resistor","53.5000","31.5000","360","High Presicion 10K Ohm"
"R5","10R","TopLayer","FP-CRCW1206-e3-IPC_A","59.1666","56.3676","180","RES Thick Film, 10O, 1%, 0.25W, 100ppm/°C, 1206
MOSFET Gate Resistor 10Ohm"
"R4","10R","TopLayer","FP-CRCW1206-e3-IPC_A","60.0000","31.2500","180","RES Thick Film, 10O, 1%, 0.25W, 100ppm/°C, 1206
MOSFET Gate Resistor 10Ohm"
"R3","4.7Ohm","TopLayer","FP-CRCW1206-e3-IPC_A","59.1666","54.1677","180","RES Thick Film, 4.7O, 1%, 0.25W, 100ppm/°C, 1206
MOSFET Gate Fast-off Resistor 4.7Ohm"
"R2","4.7Ohm","TopLayer","FP-CRCW1206-e3-IPC_A","60.0000","29.0000","180","RES Thick Film, 4.7O, 1%, 0.25W, 100ppm/°C, 1206
MOSFET Gate Fast-off Resistor 4.7Ohm"
"R1","0R005 5W","TopLayer","FC4L110R005FER","50.0000","22.0000","360","Resistor 0R005 5W"
"M4","Mosfet","TopLayer","FP-PG-TDSON-8-MFG","65.3750","38.0000","270","MOSFET N-CH 100V 100A 8TDSON
Mosfet Switcher"
"M3","Mosfet","TopLayer","FP-PG-TDSON-8-MFG","65.3750","64.0000","270","MOSFET N-CH 100V 100A 8TDSON
Mosfet Switcher"
"M2","Mosfet","TopLayer","FP-PG-TDSON-8-MFG","65.3750","31.0000","270","MOSFET N-CH 100V 100A 8TDSON
Mosfet Switcher"
"M1","Mosfet","TopLayer","FP-PG-TDSON-8-MFG","65.3750","57.0000","270","MOSFET N-CH 100V 100A 8TDSON
Mosfet Switcher"
"LED1","Green LED","TopLayer","0805_A","29.0818","48.4000","270","SMD mono-color Chip LED, WL-SMCW, Green"
"L1","10uH/1.2A","TopLayer","WE-MAPI_3020","21.5818","31.5000","180","Inductor"
"J2","01x17","TopLayer","RHDR17W76P0X254_1X17_4318X254X826P","27.9800","56.0000","180","Connector 2.54mm"
"J1","01x17","TopLayer","RHDR17W76P0X254_1X17_4318X254X826P","27.9800","78.8000","180","Connector 2.54mm"
"IC6","5V LDO Regulator","TopLayer","ROHM_TO-252-3","24.1250","69.2000","90","5V LDO Regulator"
"IC5","171032401","TopLayer","7_PIN_PFM","22.1293","39.3000","180","MagI³C-VDRM Variable Step Down Regulator Module WE-VDRM , Ui=6-42V"
"IC4","Op-Amp","TopLayer","ADI-RJ-5_N","40.3000","46.2500","360","Single Channel RRIO Operational Amplifier, 80 MHz BW, 35 V/us SR, Industrial, 5-pin SOT23 (RJ-5), Reel"
"IC3","Amplifier","TopLayer","SOIC127P600X175-8N","38.5000","37.5000","270","Integrated Circuit Amplifier"
"IC2","Gate Drive IC for TX","TopLayer","SOIC127P600X175-8N","54.9666","60.1676","360","Gate Drive IC"
"IC1","Gate Drive IC for TX","TopLayer","SOIC127P600X175-8N","55.8000","35.0000","360","Gate Drive IC"
"FL1","2 x 220uH 12A","TopLayer","744844221","17.6000","14.0000","270","Common Mode Choke 220uH 12A"
"D7","Zener Diode 5.6V","TopLayer","ZMM5232B","30.6766","63.0493","90","Zener Diode 5.6V 0.5W"
"D6","Diode","TopLayer","SOD3716X135N","55.6666","65.1676","90","Diode"
"D5","Diode","TopLayer","SOD3716X135N","56.5000","40.1000","90","Diode"
"D4","Diode","TopLayer","SOD3716X135N","55.6666","55.1676","270","Diode"
"D3","Diode","TopLayer","SOD3716X135N","56.5000","30.0000","270","Diode"
"D2","Diode","TopLayer","SOD3716X135N","52.1666","63.6677","180","Diode"
"D1","Diode","TopLayer","SOD3716X135N","53.0000","38.6000","180","Diode"
"C45","10nF/50V","TopLayer","0805_Capacitor","57.2837","69.4000","360","10nF/50V"
"C44","100nF/50V","TopLayer","0805_Capacitor","14.5074","74.7127","90","100nF/50V"
"C43","220nF/50V","TopLayer","CAPC2012X90N","29.7818","40.5000","180","Capacitor 220nF / 50V"
"C42","10nF/50V","TopLayer","0805_Capacitor","47.4616","69.5219","90","10nF/50V"
"C41","1nF/50V","TopLayer","CAPC2012X90N","41.4600","66.8208","0","1nF/50V"
"C40","2.2uF/25V","TopLayer","0805_Capacitor","25.2500","74.4340","180","2.2uF/25V"
"C39","22nF/50V","TopLayer","CAPC2012X90N","29.7818","45.6500","180","Capacitor 22nF/50V"
"C38","100nF/50V","TopLayer","CAPC3216X90N","27.1818","46.7000","270","Capacitor 100nF/50V"
"C37","47uF/16V","TopLayer","CAPC3225X280N","24.5000","46.8000","270","Capacitor 47uF/16V"
"C36","47uF/16V","TopLayer","CAPC3225X280N","21.3500","46.8000","270","Capacitor 47uF/16V"
"C35","47uF/16V","TopLayer","CAPC3225X280N","18.2000","46.8000","270","Capacitor 47uF/16V"
"C34","47uF/16V","TopLayer","CAPC3225X280N","15.0000","46.8000","270","Capacitor 47uF/16V"
"C33","4.7uF/50V","TopLayer","CAPC3225X280N","17.8818","31.6000","270","Capacitor 4.7uF/50V"
"C32","4.7uF/50V","TopLayer","CAPC3225X280N","14.7000","31.6000","270","Capacitor 4.7uF/50V"
"C31","4.7uF/50V","TopLayer","CAPC3225X280N","28.4100","31.6000","90","Capacitor 4.7uF/50V"
"C30","4.7uF/50V","TopLayer","CAPC3225X280N","25.2818","31.6000","90","Capacitor 4.7uF/50V"
"C29","10uF/25V","TopLayer","CAPAE530X550N","24.9814","62.0691","180","Capacitor Polarised 10uF/25V"
"C28","100nF/50V","TopLayer","CAPC2012X90N","31.0756","66.7993","360","100nF/50V"
"C27","33pF/50V","TopLayer","CAPC2012X90N","41.0000","49.2500","180","Capacitor 33pF/50V"
"C26","1nF/50V","TopLayer","CAPC2012X90N","41.0000","50.9500","180","1nF/50V"
"C25","1nF/50V","TopLayer","CAPC2012X90N","39.2000","42.7500","90","1nF/50V"
"C24","10nF/50V","TopLayer","0805_Capacitor","43.5000","59.7500","360","10nF/50V"
"C23","100nF/50V","TopLayer","CAPC2012X90N","44.0000","49.2500","180","100nF/50V"
"C22","100nF/50V","TopLayer","CAPC2012X90N","39.5000","32.9500","180","100nF/50V"
"C21","1nF/50V","TopLayer","CAPC2012X90N","42.7000","34.7500","180","1nF/50V"
"C20","1nF/50V","TopLayer","CAPC2012X90N","42.7000","40.0500","180","1nF/50V"
"C19","1nF/50V","TopLayer","CAPC2012X90N","42.0000","37.4500","270","1nF/50V"
"C18","100nF/250V","TopLayer","CAPC4532X220N","75.2500","68.2500","180","100nF/250V"
"C17","100nF/250V","TopLayer","CAPC4532X220N","75.2500","64.2500","180","100nF/250V"
"C16","1uF/50V","TopLayer","CAPC2012X135N","50.1666","59.6677","90","Capacitor 1uF/50V"
"C15","1uF/50V","TopLayer","CAPC2012X135N","50.5000","35.2000","90","Capacitor 1uF/50V"
"C14","100nF/250V","TopLayer","CAPC4532X220N","75.2500","60.2500","180","100nF/250V"
"C13","100nF/250V","TopLayer","CAPC4532X220N","75.2500","56.2500","180","100nF/250V"
"C12","100nF/50V","TopLayer","0805_Capacitor","60.1666","59.6677","90","100nF/50V"
"C11","470nF/275V","TopLayer","890324025039CS","32.0000","9.5000","90","Safety Capacitor, 470nF/275V"
"C10","100nF, 100V","TopLayer","WCAP-CSGP_0805_H=1.25mm","72.5000","73.7500","270","WCAP-CSGP Multilayer Ceramic Chip Capacitor, General Purpose, size 0805, X7R, 100nF, 100V"
"C9","100nF, 100V","TopLayer","WCAP-CSGP_0805_H=1.25mm","75.5000","32.0000","180","WCAP-CSGP Multilayer Ceramic Chip Capacitor, General Purpose, size 0805, X7R, 100nF, 100V"
"C8","220uF/63VDC","TopLayer","CAPPRD500W62D1000H2650","41.8000","5.5000","270","Polarised Cap, 220uF/63VDC"
"C3","220uF/63V","TopLayer","WCAP-ATUL_D10H16","65.2661","74.3785","0","WCAP-ATUL Aluminum Electrolytic Capacitor, Radial, THT, D10xH16mm, 220uF/63V"
"C2","100nF/50V","TopLayer","0805_Capacitor","61.0000","34.6000","90","100nF/50V"
"C1","470nF/275V","TopLayer","890324025039CS","4.0000","16.4043","90","Safety Capacitor, 470nF/275V"
